2025-11-24 22:47:20 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:47:20.493866", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.2293243408203125, "latest_price": 24906.0}}
2025-11-24 22:47:20 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:47:20.494910", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.2293243408203125, "success": true}
2025-11-24 22:47:20 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.23s
2025-11-24 22:47:20 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'index_label'
2025-11-24 22:49:42 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:49:43 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:49:45 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:49:45.060918", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.327315092086792, "latest_price": 24900.0}}
2025-11-24 22:49:45 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:49:45.062300", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.327315092086792, "success": true}
2025-11-24 22:49:45 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.33s
2025-11-24 22:49:45 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'df_new_data'
2025-11-24 22:50:04 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:50:05 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:50:06 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:50:06.663242", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3029191493988037, "latest_price": 24897.0}}
2025-11-24 22:50:06 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:50:06.663242", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3029191493988037, "success": true}
2025-11-24 22:50:06 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.30s
2025-11-24 22:50:06 | ERROR    | YahooRSI | FATAL ERROR during backup of data: AdvancedLogger.append_new_data_only() got multiple values for argument 'df_new_data'
2025-11-24 22:52:24 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:52:24 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:52:26 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:52:26.159272", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.2656052112579346, "latest_price": 24896.75}}
2025-11-24 22:52:26 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:52:26.160272", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.2656052112579346, "success": true}
2025-11-24 22:52:26 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.27s
2025-11-24 22:52:26 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:53:29 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:53:30 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:53:32 | ERROR    | YahooRSI | {"timestamp": "2025-11-24T22:53:32.486119", "type": "ERROR", "error_type": "DATA_FETCH_ERROR", "message": "No data returned for /NQ", "context": {"symbol": "/NQ", "period": 0, "interval": "1m"}}
2025-11-24 22:54:16 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:54:17 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:54:18 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:54:18.706089", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.297861099243164, "latest_price": 24899.5}}
